county,urban,hhincome,acres,letter,app
County A,1,30018.06942988708,0.11528262629257041,0,0
County A,0,42252.33955367704,1.6628147700116738,0,0
County A,1,24564.51568376347,0.21194207770377615,0,0
County A,0,143054.08755519558,4.525775605226412,0,0
County A,1,13802.700480486625,3.979661391007683,0,0
County A,0,56235.89302080339,9.773454832753233,0,0
County A,0,160140.8941067271,1.2903477501934966,0,0
County A,1,51076.79850474191,1.1569481499280514,1,0
County A,1,187884.65420327926,0.3631080232843182,0,0
County A,0,111973.67306102681,17.899417808802376,0,0
County A,0,56110.12596057457,4.939465793149745,0,0
County A,1,81340.34425659046,0.502201600479553,0,0
County A,0,67551.21284890737,4.572312501631673,0,0
County A,0,121488.82907638034,7.637230561060393,0,0
County A,0,72578.54916395638,32.04556469629821,0,1
County A,0,109547.92788070012,1.8143120883568558,0,0
County A,0,191108.25516357124,8.120256744075833,1,0
County A,0,94571.16278592923,7.710383061013038,0,0
County A,0,480528.03478003707,18.178745413510025,0,0
County A,0,159335.92172070892,1.060407614732155,0,0
County A,0,47980.33100150859,9.487119775597337,0,0
County A,1,15500.295495850432,0.6802563922327509,1,0
County A,0,291224.4535397317,2.5305852836450486,1,0
County A,0,45818.40401413627,3.619528273189754,0,0
County A,0,54751.9374401309,5.720030979170779,0,0
County A,1,35067.29889183662,0.6181075864726884,1,0
County A,0,42929.12281650988,2.153241202799145,0,0
County A,1,208888.18823074357,0.9994487293560993,0,0
County A,0,66807.04852703407,26.34934260165525,0,0
County A,0,59457.94336054388,8.117912943517707,0,0
County A,0,53263.04115923658,18.18200622456404,0,0
County A,0,40326.239315397994,5.164003315829265,0,0
County A,0,194281.09506660013,1.0757688226212168,0,0
County A,0,256983.91146238658,14.933720887053536,0,0
County A,0,58889.510744009,2.4289356796919703,0,0
County A,1,31418.26091037328,0.2399545762478676,1,0
County A,1,94409.50342250509,0.5394325241253926,0,0
County A,0,1608083.7043466044,6.434428892866894,0,0
County A,1,92618.97932914572,1.3431169295872705,1,0
County A,0,29966.7276445918,0.8293253742217448,0,0
County A,0,104411.04829855652,5.2032285564250405,0,0
County A,0,149729.54979979052,7.61441059627462,0,0
County A,1,130992.92244067093,0.5836989953237012,0,0
County A,0,10480.716868209547,21.54301947997535,0,0
County A,1,92366.76144534833,0.25761346621186926,0,0
County A,0,253502.6898569865,10.647814893272255,0,0
County A,0,87542.3812852585,10.74175156284518,1,0
County A,0,91728.47235825229,5.6553481662706,0,0
County A,0,173667.84321267816,1.4515534000897126,0,0
County A,0,120765.74453249009,4.748857792425962,0,0
County A,0,376899.59908853826,7.107953649137377,0,0
County A,1,12508.10424287573,1.0871583095752984,1,0
County A,0,88715.19329803037,1.7097192417282705,0,0
County A,0,20587.30290218148,6.445725839107421,0,0
County A,0,253533.898125778,1.3023811531768847,0,0
County A,0,74411.27437587242,17.336735344931657,1,0
County A,0,188801.36984858935,5.475956334862598,0,0
County A,1,42941.54610152172,0.3416724895907929,1,0
County A,1,12793.289510050328,0.16848897968010962,0,0
County A,0,146631.88955202943,2.4926839042498234,0,0
County A,0,34852.929929658625,34.94387105692764,0,0
County A,0,28458.945787625522,3.471772799305622,0,0
County A,1,144781.8893776412,3.670282940507217,0,0
County A,0,129130.17850833006,5.188580875227891,1,0
County A,1,51156.62082944855,0.6694130260764332,0,0
County A,0,28873.722556277327,8.15667320554008,0,0
County A,0,430230.8146137793,1.9824255442604126,0,0
County A,0,184621.4168702735,17.10410110968734,0,0
County A,0,16419.90433536656,3.2231461417769967,0,0
County A,0,33616.03718234106,1.577498735179947,1,0
County A,0,227308.27535601673,6.330914447694611,0,0
County A,0,79287.96894467906,1.315499497819993,1,0
County A,0,41493.61949564149,8.321292544550941,1,0
County A,0,214352.20506933396,32.35860771861192,0,0
County A,1,86483.25923222046,0.10990526862565497,0,0
County A,0,45684.40983459124,3.144291739290332,0,0
County A,0,42815.969175238766,2.9778981019399517,0,0
County A,0,14281.31314951621,13.36050120266623,0,0
County A,0,38298.96188556184,1.9186143921462517,0,0
County A,0,99323.42003771466,14.73062716342216,0,0
County A,0,131009.92946899205,2.845783972690585,0,0
County A,1,31301.971245567547,0.2935573103382313,1,0
County A,1,17329.707675194582,0.358076710262028,1,0
County A,0,43937.58753381988,1.8005407081735814,1,0
County A,0,130287.0490233272,6.298777105758673,0,0
County A,1,70301.69751242839,1.0362337144604574,1,0
County A,0,149226.524326629,6.813358357659386,0,0
County A,0,135579.95670643888,14.835578339464574,0,0
County A,0,173568.25604863916,6.45587361307299,0,0
County A,0,54758.97866654491,0.6722760209314708,0,0
County A,0,60157.42984176837,2.3830635966936997,0,0
County A,1,100417.60785606585,0.30560067750373443,0,0
County A,0,163477.76201175075,4.127209828432898,0,0
County A,0,9765.843587778361,18.285131798869966,0,0
County A,0,49113.25079042925,9.838047550847486,0,0
County A,1,24734.950557327673,0.4019871078782498,1,0
County A,0,69909.18393280945,4.715539540459235,1,0
County A,0,31870.605676059247,9.372529960982737,0,0
County A,0,44100.6749598212,1.540815436208225,1,0
County A,0,52450.01854900809,9.56406093699962,0,0
County A,1,57212.68460800131,0.06469507350295058,0,0
County A,0,222265.8161196077,2.28095629197231,0,0
County A,0,29127.59040269772,6.094880799102679,0,0
County A,0,78624.55763318,3.79990442801066,0,0
County A,1,87337.80759134522,0.10101718071840601,0,0
County A,1,68978.53692171554,1.0200134703713257,0,0
County A,0,229479.4542903016,15.221311022903748,0,0
County A,0,38671.82783477526,1.3390440068365326,0,0
County A,1,58222.76770102707,0.053958311757250736,1,0
County A,0,130432.37979921432,24.789959413294852,0,0
County A,0,215222.8004523891,27.133818856217232,0,1
County A,0,186573.4732404543,72.47352048179654,0,0
County A,0,10219.613747337266,17.753064491903313,0,0
County A,1,5926.397928151883,0.22119922409742554,0,0
County A,0,308053.48587616376,9.55001072802853,0,0
County A,1,59041.08544611982,0.5917891837234542,0,0
County A,0,239591.4033786996,4.727385009163832,0,0
County A,1,22074.473515356316,0.42226955714731407,0,0
County A,0,24195.66453190915,16.535113748930037,0,0
County A,0,50956.90558871676,8.93679973566395,0,0
County A,1,36172.36303445751,0.20140492132745047,1,0
County A,1,27050.85500958573,2.136619024893523,0,0
County A,0,312213.23862211476,2.3557281235903056,1,0
County A,0,29991.426289457755,13.353577221784006,0,0
County A,0,27238.60606801884,6.681208717001327,1,0
County A,0,175561.80595944572,18.609447144127234,0,0
County A,0,252302.32207334437,2.2853729428686593,0,0
County A,0,42038.433302915415,23.295085613419452,0,0
County A,1,39385.28413814933,0.6611604546461749,1,0
County A,1,78158.29807746946,0.21984792433217196,0,0
County A,0,132431.1497282786,0.7439966131653609,0,0
County A,0,67601.40968632682,3.6345153105836743,0,0
County A,0,250172.02172219756,11.322594668081209,0,0
County A,0,930452.659655228,0.8671786881901199,0,0
County A,0,74469.40633530535,12.449980252895882,0,0
County A,0,48714.090561220895,7.385724388950736,0,0
County A,0,22607.767128437783,2.521531700554129,0,0
County A,0,121142.25729065311,2.219486866118201,0,0
County A,0,110522.67377671206,3.866256475940378,0,0
County A,0,422808.8075207143,1.4770424108377123,0,0
County A,0,53914.42469253292,4.761157753575224,0,0
County A,0,84017.09463937202,6.937381295589944,1,0
County A,1,10259.58910912891,0.6807029737454636,0,0
County A,1,44241.98023181056,0.3003314449275053,1,0
County A,0,194209.2126725627,2.887846112425576,0,0
County A,0,43457.29087066246,6.463998893869592,0,0
County A,0,10829.513230964194,4.211054075807705,0,0
County A,0,5589.372211902911,1.6849858855646263,0,0
County A,0,108154.19294791702,2.439005235615537,0,0
County A,0,61610.66358826117,2.359129795708751,0,0
County A,1,18009.35763584165,0.18424582929491717,0,0
County A,0,99349.09525263624,2.689122339700488,0,0
County A,0,95827.84581524254,3.0637183703297137,0,0
County A,0,51976.305298504216,47.90256939583495,0,0
County A,0,23781.759142682204,24.371858878463357,0,0
County A,0,127265.875142088,15.644558830285344,0,0
County A,0,67838.71605784456,9.984069089703892,0,0
County A,0,9963.667320843168,50.80607501504763,0,0
County A,0,82898.22243455783,12.964594761587586,0,0
County A,0,14161.7171114305,6.344137937010145,0,0
County A,1,13045.858933987683,0.4748041956315753,0,0
County A,1,146215.114642618,0.5099465694700682,0,0
County A,0,236830.04734728925,6.944825857741185,1,1
County A,0,365399.15961138916,3.730181230984636,1,0
County A,1,34898.16429288646,0.05501358235251542,1,0
County A,0,22023.64686491397,14.677438259008404,0,0
County A,0,22617.450414068593,16.67346240546529,0,0
County A,0,90511.12273743965,1.1763400981515275,0,0
County A,0,58028.215603320554,3.4759117792777605,0,0
County A,0,155031.59385771165,4.6879838019258635,0,0
County A,0,29834.487144262886,1.0071034817352995,0,0
County A,1,62824.02932997519,2.0329628745999693,1,0
County A,0,175404.86806672838,6.075677347222934,0,0
County A,0,22009.048128803628,8.709946003802767,0,0
County A,0,115987.57892656718,5.9252971670861925,0,0
County A,0,28627.991146407978,6.934113985518966,0,0
