Country,GTI 2011,GTI 2012,GTI 2013,GTI 2014,GTI 2015,GTI 2016,GTI 2017,GTI 2018,GTI 2019,GTI 2020,GTI 2020,,,,,,,,,,,,
Lebanon,4.986,5.177,6.218,6.573,6.607,6.189,5.622,5.055,4.466,4.082,3.566,,,,,,,,,,,,
Austria,2.061,1.522,1.034,0.000,0.000,3.146,2.568,2.345,1.801,3.809,3.261,,,,,,,,,,,,
Benin,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.454,1.903,3.164,,,,,,,,,,,,
Saudi Arabia,3.862,3.607,3.017,4.167,5.864,5.746,5.331,4.959,4.478,3.853,3.110,,,,,,,,,,,,
Spain,3.913,3.265,2.390,1.843,1.283,1.522,5.154,4.584,4.040,3.448,2.861,,,,,,,,,,,,
Ecuador,0.509,0.291,1.283,0.827,1.394,0.951,0.600,4.340,3.942,3.349,2.766,,,,,,,,,,,,
Argentina,3.146,2.815,2.586,1.994,1.156,1.460,3.118,3.398,3.007,2.433,2.657,,,,,,,,,,,,
Jordan,2.310,2.616,2.011,1.492,3.345,4.753,4.153,3.910,4.047,3.432,2.594,,,,,,,,,,,,
Switzerland,2.077,1.522,1.060,0.683,1.358,0.827,1.394,2.194,1.660,2.715,2.522,,,,,,,,,,,,
Australia,0.000,0.000,0.000,2.730,2.787,2.636,2.904,3.094,2.628,3.025,2.438,,,,,,,,,,,,
Mexico,3.571,2.979,2.559,1.893,2.577,3.224,3.956,3.766,3.654,3.054,2.428,,,,,,,,,,,,
Ukraine,3.273,3.795,3.332,3.486,5.403,4.942,4.610,4.335,3.834,2.957,2.304,,,,,,,,,,,,
Malaysia,0.291,2.180,1.976,3.136,2.808,3.541,2.945,2.985,3.064,2.907,2.247,,,,,,,,,,,,
Paraguay,3.146,2.700,4.415,3.916,4.395,4.475,3.996,3.739,3.396,2.951,2.194,,,,,,,,,,,,
Bahrain,1.822,3.827,4.480,4.872,4.508,4.388,4.591,3.958,3.255,2.620,2.145,,,,,,,,,,,,
Netherlands,0.000,0.000,0.000,0.000,0.000,0.000,2.273,2.454,1.903,1.822,2.077,,,,,,,,,,,,
China,5.108,5.020,5.792,6.420,6.676,6.110,5.669,5.018,4.185,2.568,1.863,,,,,,,,,,,,
Belgium,1.552,1.060,0.683,3.084,2.766,5.785,5.230,4.788,4.184,3.588,1.745,,,,,,,,,,,,
Sweden,1.976,1.460,0.951,0.291,3.069,2.759,3.793,3.330,2.857,2.221,1.660,,,,,,,,,,,,
Senegal,2.815,2.221,1.685,0.509,0.000,0.000,0.000,3.249,2.669,2.107,1.580,,,,,,,,,,,,
Japan,2.247,1.685,0.000,0.000,1.243,0.827,0.509,0.291,2.541,1.976,1.460,,,,,,,,,,,,
Uruguay,1.322,0.892,0.556,0.000,0.000,0.000,1.733,1.243,0.827,1.822,1.322,,,,,,,,,,,,
Rwanda,3.944,3.684,4.323,3.685,2.996,2.422,1.801,0.000,2.273,1.733,1.243,,,,,,,,,,,,
South Africa,0.892,0.509,0.291,0.000,1.243,0.827,0.509,2.854,2.285,1.733,1.243,,,,,,,,,,,,
Togo,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.243,,,,,,,,,,,,
Morocco,4.650,4.034,3.441,2.854,2.285,0.000,0.000,2.730,2.166,1.634,1.156,,,,,,,,,,,,
Norway,6.182,5.582,4.983,4.386,3.789,0.000,1.243,0.827,2.107,1.580,1.109,,,,,,,,,,,,
Ireland,2.298,2.061,1.912,2.310,2.028,1.883,1.358,0.892,1.358,1.552,1.060,,,,,,,,,,,,
Romania,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.603,2.044,1.522,1.060,,,,,,,,,,,,
Finland,0.407,0.227,0.000,0.000,0.000,0.000,3.108,2.531,1.976,1.460,1.007,,,,,,,,,,,,
Brazil,1.243,0.827,0.509,0.291,1.733,1.733,1.243,1.522,1.976,1.428,0.951,,,,,,,,,,,,
Cyprus,1.243,0.827,0.509,0.291,0.158,1.243,1.733,1.243,0.827,1.394,0.922,,,,,,,,,,,,
Lithuania,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.733,1.243,0.827,,,,,,,,,,,,
Mauritania,3.898,3.255,2.653,1.985,1.411,0.000,0.000,1.733,1.243,0.827,0.509,,,,,,,,,,,,
Vietnam,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.522,1.060,0.683,0.407,,,,,,,,,,,,
Angola,2.940,2.368,1.660,2.020,1.243,0.827,0.509,1.322,0.827,0.509,0.291,,,,,,,,,,,,
Czech Republic,0.000,0.000,0.000,0.000,1.733,1.243,1.903,1.394,0.951,0.509,0.291,,,,,,,,,,,,
Denmark,1.243,0.827,0.509,0.291,3.069,2.493,1.940,1.843,1.340,0.509,0.291,,,,,,,,,,,,
Gabon,0.000,0.000,0.000,0.000,0.000,0.000,1.733,1.243,0.827,0.509,0.291,,,,,,,,,,,,
Kosovo,3.216,2.550,2.815,2.632,2.166,2.815,2.247,1.985,1.428,0.951,0.291,,,,,,,,,,,,
Sudan,5.669,5.389,4.975,4.399,4.440,3.790,3.220,2.454,1.843,0.509,0.291,,,,,,,,,,,,
Taiwan,0.000,0.000,0.000,0.000,0.000,0.000,1.522,1.060,0.683,0.407,0.227,,,,,,,,,,,,
Albania,0.509,0.291,0.158,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,
Armenia,0.291,0.158,0.000,0.000,0.000,1.243,0.827,0.509,0.291,0.158,0.000,,,,,,,,,,,,
Azerbaijan,2.985,2.412,1.522,1.060,0.683,1.243,0.827,0.509,0.291,0.158,0.000,,,,,,,,,,,,
Belarus,5.172,4.573,3.954,3.363,2.777,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,
Bhutan,2.260,1.721,0.291,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,
Bolivia,1.428,0.951,0.556,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,
Bosnia and Herzegovina,1.822,1.322,1.522,1.060,3.418,2.828,2.260,1.710,1.222,0.000,0.000,,,,,,,,,,,,
Botswana,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,
Bulgaria,1.243,4.261,3.667,3.079,2.503,1.940,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,
Cambodia,0.758,1.959,1.428,0.951,0.600,0.351,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,
Central African Republic,4.610,4.184,3.591,4.060,5.169,5.300,4.699,4.103,3.473,2.464,0.000,,,,,,,,,,,,
Costa Rica,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,
Croatia,0.000,0.000,1.522,1.060,0.683,0.407,0.227,0.000,0.000,0.000,0.000,,,,,,,,,,,,
Cuba,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,
Djibouti,0.000,0.000,0.000,2.669,2.107,1.580,1.109,0.721,0.000,0.000,0.000,,,,,,,,,,,,
Dominican Republic,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,
El Salvador,3.146,2.568,2.011,1.340,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,
Equatorial Guinea,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,
Eritrea,3.734,3.146,2.531,1.976,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,
Estonia,2.368,1.822,1.322,0.892,0.556,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,
Georgia,3.901,4.283,3.766,3.106,2.443,2.594,1.745,1.156,0.758,0.460,0.000,,,,,,,,,,,,
Ghana,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,
Guatemala,2.752,3.890,3.296,2.715,2.044,1.522,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,
Guinea,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,
Guinea-Bissau,0.000,2.273,1.733,1.243,0.827,0.509,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,
Guyana,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,
Haiti,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,
Honduras,2.985,2.412,1.863,0.509,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,
Hungary,0.509,0.291,0.158,1.243,0.827,1.822,1.322,0.892,0.509,0.291,0.000,,,,,,,,,,,,
Iceland,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,
Jamaica,0.509,0.291,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,
Kazakhstan,4.513,3.962,3.370,2.787,2.221,4.046,3.451,2.867,2.298,1.756,0.000,,,,,,,,,,,,
Kuwait,1.460,1.608,1.109,0.683,5.578,4.988,4.390,3.795,3.205,0.158,0.000,,,,,,,,,,,,
Kyrgyz Republic,2.568,2.011,3.064,2.488,1.822,2.390,1.843,1.156,0.758,0.460,0.000,,,,,,,,,,,,
Laos,0.000,0.000,0.000,0.000,0.000,4.281,3.687,3.098,2.522,1.968,0.000,,,,,,,,,,,,
Latvia,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,
Lesotho,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,
Liberia,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,
Macedonia (FYR),0.000,0.000,0.000,1.243,4.003,3.412,2.828,2.260,1.710,0.000,0.000,,,,,,,,,,,,
Madagascar,2.273,2.368,2.493,3.737,3.136,4.445,3.847,3.251,2.586,2.028,0.000,,,,,,,,,,,,
Malawi,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,
Mauritius,0.000,0.000,0.000,0.000,0.000,1.243,0.827,0.509,0.291,0.158,0.000,,,,,,,,,,,,
Moldova,2.493,1.940,1.428,0.000,0.000,1.243,0.827,0.509,0.291,0.158,0.000,,,,,,,,,,,,
Mongolia,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,
Montenegro,0.892,0.509,0.291,0.158,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,
Namibia,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,
Nicaragua,1.522,1.060,0.683,3.903,3.312,2.730,2.166,1.634,0.000,0.000,0.000,,,,,,,,,,,,
North Korea,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,
Oman,0.827,0.509,0.291,0.158,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,
Panama,1.522,1.060,0.683,0.158,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,
Papua New Guinea,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,
Poland,0.000,0.000,0.000,0.000,0.000,1.522,1.060,0.683,0.407,0.227,0.000,,,,,,,,,,,,
Portugal,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,
Qatar,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,
Republic of the Congo,1.179,0.683,0.407,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,
Serbia,2.061,2.531,1.950,1.358,0.827,0.509,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,
Sierra Leone,0.227,2.368,1.822,1.322,0.892,0.556,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,
Singapore,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,
Slovakia,1.243,0.827,0.509,0.291,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,
Slovenia,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,
South Korea,0.000,0.000,0.000,0.000,1.522,1.060,0.683,0.407,0.227,0.000,0.000,,,,,,,,,,,,
South Sudan,0.000,0.000,3.753,3.604,4.078,3.486,2.901,2.180,1.537,0.000,0.000,,,,,,,,,,,,
Swaziland,1.201,0.793,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,
The Gambia,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,
Timor-Leste,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,
Trinidad and Tobago,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,
Turkmenistan,0.000,0.000,0.000,3.615,3.657,3.069,2.493,1.940,1.007,0.000,0.000,,,,,,,,,,,,
United Arab Emirates,0.000,0.000,0.000,2.454,2.273,1.733,1.243,0.827,0.227,0.000,0.000,,,,,,,,,,,,
Uzbekistan,2.390,1.843,1.340,0.291,1.283,0.827,0.509,0.291,0.158,0.000,0.000,,,,,,,,,,,,
Zambia,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,
Zimbabwe,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,
